timestamp,difficulty,mode,server,service,winner,reason,hits,duration_s,last_hitter,last_shot,score_kai_before,score_mina_before,sets_kai,sets_mina
2026-05-03T01:41:03,Club,singles,player,serve_lob,opponent,Faute filet,3,3.74,player,drop,0,0,0,0
2026-05-03T01:41:04,Club,singles,opponent,serve_short,player,Faute service,1,0.45,opponent,serve_short,0,1,0,0
2026-05-03T01:41:06,Club,singles,player,serve_short,opponent,Faute service,1,0.58,player,serve_short,1,1,0,0
2026-05-03T01:41:08,Club,singles,opponent,serve_short,player,Faute service,1,0.59,opponent,serve_short,1,2,0,0
2026-05-03T01:41:09,Club,singles,player,serve_short,opponent,Faute service,1,0.59,player,serve_short,2,2,0,0
2026-05-03T01:41:11,Club,singles,opponent,serve_short,player,Faute service,1,0.59,opponent,serve_short,2,3,0,0
2026-05-03T01:41:13,Club,singles,player,serve_short,opponent,Faute service,1,0.58,player,serve_short,3,3,0,0
2026-05-03T01:41:14,Club,singles,opponent,serve_short,player,Faute service,1,0.59,opponent,serve_short,3,4,0,0
2026-05-03T01:41:19,Club,singles,player,serve_lob,player,Faute dehors,2,3.24,opponent,drop,4,4,0,0
2026-05-03T01:41:20,Club,singles,player,serve_short,opponent,Faute service,1,0.59,player,serve_short,5,4,0,0
2026-05-03T01:41:22,Club,singles,opponent,serve_short,player,Faute service,1,0.58,opponent,serve_short,5,5,0,0
2026-05-03T01:41:26,Club,singles,player,serve_lob,player,Faute dehors,2,2.82,opponent,smash,6,5,0,0
2026-05-03T01:41:27,Club,singles,player,serve_short,opponent,Faute service,1,0.60,player,serve_short,7,5,0,0
2026-05-03T01:41:29,Club,singles,opponent,serve_short,player,Faute service,1,0.59,opponent,serve_short,7,6,0,0
2026-05-03T01:41:35,Club,singles,player,serve_lob,player,Faute dehors,4,5.31,opponent,smash,8,6,0,0
2026-05-03T01:41:37,Club,singles,player,serve_short,opponent,Faute service,1,0.60,player,serve_short,9,6,0,0
2026-05-03T01:41:39,Club,singles,opponent,serve_short,player,Faute service,1,0.58,opponent,serve_short,9,7,0,0
2026-05-03T01:41:40,Club,singles,player,serve_short,opponent,Faute service,1,0.59,player,serve_short,10,7,0,0
2026-05-03T01:41:46,Club,singles,opponent,serve_lob,opponent,Faute filet,4,3.96,player,smash,10,8,0,0
2026-05-03T01:41:47,Club,singles,opponent,serve_short,player,Faute service,1,0.60,opponent,serve_short,10,9,0,0
2026-05-03T01:41:49,Club,singles,player,serve_short,opponent,Faute service,1,0.58,player,serve_short,11,9,0,0
2026-05-03T01:41:53,Club,singles,opponent,serve_lob,player,Faute filet,3,2.84,opponent,drop,11,10,0,0
2026-05-03T01:41:55,Club,singles,player,serve_short,opponent,Faute service,1,0.59,player,serve_short,12,10,0,0
2026-05-03T01:41:56,Club,singles,opponent,serve_short,player,Faute service,1,0.59,opponent,serve_short,12,11,0,0
2026-05-03T01:42:00,Club,singles,player,serve_lob,opponent,Faute filet,3,2.92,player,drop,13,11,0,0
2026-05-03T01:42:07,Club,singles,opponent,serve_lob,opponent,Faute filet,6,5.01,player,drop,13,12,0,0
2026-05-03T01:42:08,Club,singles,opponent,serve_short,player,Faute service,1,0.58,opponent,serve_short,13,13,0,0
2026-05-03T01:42:10,Club,singles,player,serve_short,opponent,Faute service,1,0.58,player,serve_short,14,13,0,0
2026-05-03T01:42:12,Club,singles,opponent,serve_short,player,Faute service,1,0.59,opponent,serve_short,14,14,0,0
2026-05-03T01:42:13,Club,singles,player,serve_short,opponent,Faute service,1,0.58,player,serve_short,15,14,0,0
2026-05-03T01:42:19,Club,singles,opponent,serve_lob,player,Faute filet,5,4.59,opponent,smash,15,15,0,0
2026-05-03T01:42:21,Club,singles,player,serve_short,opponent,Faute service,1,0.60,player,serve_short,16,15,0,0
2026-05-03T01:42:22,Club,singles,opponent,serve_short,player,Faute service,1,0.58,opponent,serve_short,16,16,0,0
